cst_id,cst_firstname,cst_lastname,cst_gender,cst_city,cst_region,cst_email,cst_create_date
CUST100032,John,Reyes,M,Iloilo,Central Visayas,,04/11/2020
CUST100033,Maria,Santos,F,Cagayan de Oro,Davao Region,customer32@example.com,12/06/2023
CUST100034,Kevin,Rivera,M,Digos,Western Visayas,customer33@example.com,20/04/2020
CUST100035,Luis,Reyes,Female,Cagayan de Oro,SOCCSKSARGEN,customer34@example.com,13/09/2021
CUST100036,Maria,Reyes,Female,Davao City,SOCCSKSARGEN,customer35@example.com,22/03/2023
CUST100037,Luis,Santos,M,Cagayan de Oro,Davao Region,customer36@example.com,02/04/2021
CUST100038,Patricia,Cruz,F,Davao City,Metro Manila,customer37@example.com,06/12/2022
CUST100039,Carlo,Navarro,M,Davao City,Metro Manila,customer38@example.com,26/03/2022
CUST100040,Nicole,Villanueva,F,Cagayan de Oro,Davao Region,customer39@example.com,09/09/2024
CUST100041,Mark,Castillo,female,Cagayan de Oro,SOCCSKSARGEN,customer40@example.com,01/06/2021
CUST100042,James,Ramos,F,Iloilo,Davao Region,customer41@example.com,19/06/2024
CUST100043,Grace,Reyes,female,Cagayan de Oro,Northern Mindanao,,31/01/2023
CUST100044,Paolo,Bautista,M,Iloilo,SOCCSKSARGEN,customer43@example.com,10/09/2023
CUST100045,Maria,Santos,F,Quezon City,Metro Manila,customer44@example.com,30/10/2020
CUST100046,Marco,Aquino,F,Digos,Western Visayas,customer45@example.com,04/02/2020
CUST100047,Sofia,Torres,F,Iloilo,Central Visayas,customer46@example.com,08/08/2023
CUST100048,Luis,Gonzales,,General Santos,Western Visayas,customer47@example.com,14/05/2022
CUST100049,Daniel,Dela Cruz,M,Cagayan de Oro,Davao Region,customer48@example.com,09/07/2021
CUST100050,James,Aquino,male,Tagum,Western Visayas,customer49@example.com,31/05/2024
CUST100051,James,Flores,male,Panabo,Davao Region,customer50@example.com,10/08/2021
CUST100052,Mark,Navarro,F,Cagayan de Oro,Northern Mindanao,customer51@example.com,19/02/2022
CUST100053,Paolo,Rivera,F,Panabo,Metro Manila,customer52@example.com,27/07/2023
CUST100054,Miguel,Castillo,F,Cagayan de Oro,Central Visayas,customer53@example.com,27/09/2024
CUST100055,Miguel,Torres,M,Davao City,Davao Region,customer54@example.com,06/06/2024
CUST100056,Juan,Flores,Female,Panabo,Western Visayas,customer55@example.com,20/03/2023
CUST100057,Liza,Castillo,F,Cebu City,Northern Mindanao,customer56@example.com,17/07/2020
CUST100058,Mark,Mendoza,female,Cebu City,SOCCSKSARGEN,customer57@example.com,16/07/2020
CUST100059,Grace,Cruz,Male,Iloilo,Davao Region,customer58@example.com,01/06/2023
CUST100060,Daniel,Flores,F,Quezon City,Northern Mindanao,customer59@example.com,05/07/2022
CUST100061,Ella,Reyes,Female,Quezon City,Northern Mindanao,customer60@example.com,27/08/2020
CUST100062,Grace,Cruz,F,Davao City,Metro Manila,customer61@example.com,06/06/2023
CUST100063,Paolo,Torres,female,Cebu City,Central Visayas,customer62@example.com,23/08/2024
CUST100064,Marco,Bautista,M,Panabo,Davao Region,customer63@example.com,27/04/2020
CUST100065,Sofia,Bautista,,Panabo,Metro Manila,customer64@example.com,26/01/2024
CUST100066,Angela,Dela Cruz,male,Panabo,SOCCSKSARGEN,customer65@example.com,12/09/2021
CUST100067,Ella,Torres,male,General Santos,Davao Region,customer66@example.com,17/12/2021
CUST100068,Paolo,Cruz,F,Tagum,Northern Mindanao,customer67@example.com,14/07/2023
CUST100069,Maria,Bautista,male,Cagayan de Oro,Central Visayas,customer68@example.com,20/03/2021
CUST100070,Miguel,Garcia,F,Tagum,Western Visayas,customer69@example.com,09/10/2020
CUST100071,James,Bautista,Female,Cagayan de Oro,Davao Region,customer70@example.com,30/09/2024
CUST100072,Mark,Villanueva,M,Cebu City,Northern Mindanao,customer71@example.com,19/09/2021
CUST100073,Miguel,Castillo,F,Tagum,Northern Mindanao,customer72@example.com,01/11/2020
CUST100074,Ana,Mendoza,F,Tagum,Metro Manila,customer73@example.com,26/05/2023
CUST100075,Daniel,Rivera,F,Quezon City,Davao Region,customer74@example.com,25/01/2021
CUST100076,Miguel,Aquino,F,Manila,Metro Manila,customer75@example.com,27/10/2023
CUST100077,Angela,Aquino,male,Panabo,Central Visayas,customer76@example.com,06/05/2020
CUST100078,John,Villanueva,M,Quezon City,Northern Mindanao,customer77@example.com,22/07/2022
CUST100079,Kevin,Gonzales,Female,Panabo,SOCCSKSARGEN,customer78@example.com,26/12/2021
CUST100080,Daniel,Reyes,M,Iloilo,Western Visayas,,18/09/2024
CUST100081,Ella,Gonzales,Female,Tagum,Western Visayas,customer80@example.com,27/07/2022
CUST100082,Sofia,Bautista,Female,Cebu City,SOCCSKSARGEN,customer81@example.com,23/07/2024
CUST100083,Mark,Garcia,F,Davao City,Northern Mindanao,customer82@example.com,23/03/2021
CUST100084,Patricia,Dela Cruz,Female,Tagum,SOCCSKSARGEN,customer83@example.com,02/05/2022
CUST100085, Nicole ,Bautista,female,General Santos,Northern Mindanao,customer84@example.com,04/01/2024
CUST100086,Grace,Garcia,male,Davao City,Northern Mindanao,customer85@example.com,15/10/2020
CUST100087,Maria,Flores,F,General Santos,Metro Manila,customer86@example.com,27/07/2024
CUST100088,Angela,Castillo,F,Panabo,Western Visayas,customer87@example.com,23/10/2023
CUST100089,James,Aquino,Female,Davao City,Metro Manila,customer88@example.com,03/05/2023
CUST100090,Patricia,Gonzales,M,Iloilo,Metro Manila,customer89@example.com,13/03/2021
CUST100091,Sofia,Reyes,male,Iloilo,Central Visayas,customer90@example.com,12/01/2024
CUST100092,Patricia,Dela Cruz,F,Iloilo,Metro Manila,customer91@example.com,26/02/2024
CUST100093,Patricia,Rivera,male,Tagum,Central Visayas,customer92@example.com,10/06/2021
CUST100094,Paolo,Ramos,M,Digos,Central Visayas,customer93@example.com,22/11/2022
CUST100095,Luis,Garcia,M,Digos,Metro Manila,customer94@example.com,19/04/2020
CUST100096,Carlo,Dela Cruz,,Digos,Metro Manila,customer95@example.com,10/12/2021
CUST100097,John,Mendoza,male,General Santos,Northern Mindanao,customer96@example.com,28/09/2020
CUST100098,Daniel,Navarro,female,Cagayan de Oro,Davao Region,customer97@example.com,28/09/2022
CUST100099,Nicole,Dela Cruz,female,General Santos,Northern Mindanao,customer98@example.com,14/09/2022
CUST100100,Ana,Ramos,F,Panabo,Central Visayas,customer99@example.com,17/08/2022
CUST100101,Patricia,Flores,M,Iloilo,Davao Region,customer100@example.com,03/05/2023
CUST100102,Mark,Ramos,M,Iloilo,Northern Mindanao,customer101@example.com,22/07/2024
CUST100103,Patricia,Cruz,F,Digos,SOCCSKSARGEN,customer102@example.com,20/12/2020
CUST100104,Juan,Ramos,M,Panabo,Northern Mindanao,customer103@example.com,20/01/2021
CUST100105,James,Gonzales,female,Cagayan de Oro,Western Visayas,customer104@example.com,22/01/2021
CUST100106,James,Cruz,M,Digos,Davao Region,customer105@example.com,28/07/2024
CUST100107,James,Mendoza,M,Iloilo,SOCCSKSARGEN,customer106@example.com,15/06/2020
CUST100108,Daniel,Castillo,M,General Santos,Northern Mindanao,customer107@example.com,26/02/2020
CUST100109,Miguel,Ramos,M,Davao City,Central Visayas,customer108@example.com,15/10/2020
CUST100110,Grace,Aquino,M,Tagum,Western Visayas,customer109@example.com,16/10/2023
CUST100111,Carlo,Navarro,Male,Davao City,Northern Mindanao,customer110@example.com,09/11/2022
CUST100112,James,Aquino,F,Digos,Metro Manila,customer111@example.com,13/07/2024
CUST100113,Kevin,Ramos,Male,Digos,Western Visayas,customer112@example.com,02/01/2021
CUST100114,Miguel,Reyes,female,Quezon City,Davao Region,customer113@example.com,10/12/2021
CUST100115,Liza,Bautista,Male,Quezon City,Davao Region,customer114@example.com,26/09/2022
CUST100116,Kevin,Flores,Male,Tagum,Western Visayas,customer115@example.com,11/05/2020
CUST100117,Juan,Santos,F,Iloilo,Northern Mindanao,customer116@example.com,11/07/2024
CUST100118,Ana,Torres,M,Cagayan de Oro,SOCCSKSARGEN,customer117@example.com,19/12/2023
CUST100119,John,Torres,F,Digos,SOCCSKSARGEN,customer118@example.com,15/09/2020
CUST100120,Ana,Reyes,,General Santos,SOCCSKSARGEN,,26/02/2024
CUST100121,Sofia,Rivera,Male,General Santos,SOCCSKSARGEN,customer120@example.com,18/03/2022
CUST100122,Daniel,Garcia,M,Tagum,Western Visayas,customer121@example.com,28/08/2021
CUST100123,Daniel,Mendoza,F,Quezon City,Central Visayas,customer122@example.com,30/08/2024
CUST100124,Miguel,Flores,male,Davao City,SOCCSKSARGEN,customer123@example.com,22/07/2022
CUST100125,Luis,Villanueva,Male,Davao City,Central Visayas,customer124@example.com,12/02/2021
CUST100126,Kevin,Castillo,F,Panabo,Metro Manila,customer125@example.com,28/12/2023
CUST100127,Maria,Bautista,female,Tagum,Davao Region,customer126@example.com,12/07/2023
CUST100128,James,Garcia,Male,Davao City,SOCCSKSARGEN,customer127@example.com,11/12/2020
CUST100129,Kevin,Villanueva,Male,Digos,Metro Manila,customer128@example.com,04/05/2023
CUST100130,Nicole,Villanueva,M,Digos,SOCCSKSARGEN,customer129@example.com,06/02/2023
CUST100131,Kevin,Flores,M,Tagum,Central Visayas,customer130@example.com,10/05/2021
CUST100132,Kevin,Navarro,,Quezon City,Northern Mindanao,customer131@example.com,14/02/2022
CUST100133,Maria,Santos,F,Quezon City,Metro Manila,customer132@example.com,19/02/2024
CUST100134,Kevin,Bautista,F,Manila,SOCCSKSARGEN,customer133@example.com,09/11/2020
CUST100135,James,Rivera,F,Cagayan de Oro,Metro Manila,customer134@example.com,24/07/2023
CUST100136,Angela,Flores,M,Iloilo,Western Visayas,customer135@example.com,05/02/2024
CUST100137,Nicole,Navarro,male,Digos,Northern Mindanao,customer136@example.com,13/08/2024
CUST100138,Juan,Flores,M,General Santos,Western Visayas,customer137@example.com,07/08/2021
CUST100139,Angela,Reyes,male,Davao City,Western Visayas,customer138@example.com,24/04/2021
CUST100140, Sofia ,Ramos,F,Manila,SOCCSKSARGEN,customer139@example.com,08/08/2024
CUST100141, Marco ,Castillo,M,Davao City,Davao Region,customer140@example.com,12/04/2022
CUST100142,John,Gonzales,M,Cebu City,Central Visayas,customer141@example.com,21/10/2022
CUST100143,Carlo,Gonzales,male,Manila,Davao Region,customer142@example.com,12/07/2022
CUST100144,Sofia,Flores,M,Panabo,Central Visayas,customer143@example.com,15/07/2022
CUST100145,Marco,Rivera,M,Cebu City,Western Visayas,customer144@example.com,29/01/2023
CUST100146,Luis,Navarro,Female,Digos,Metro Manila,customer145@example.com,31/01/2022
CUST100147,Juan,Aquino,F,Digos,Western Visayas,customer146@example.com,06/12/2021
CUST100148,John,Ramos,F,Cagayan de Oro,Western Visayas,customer147@example.com,22/12/2021
CUST100149,Patricia,Rivera,M,Panabo,SOCCSKSARGEN,customer148@example.com,27/03/2023
CUST100150,Maria,Castillo,male,Manila,SOCCSKSARGEN,customer149@example.com,12/01/2024
CUST100151,Luis,Reyes,M,Digos,Metro Manila,customer150@example.com,26/09/2022
CUST100152,Carlo,Reyes,M,General Santos,SOCCSKSARGEN,customer151@example.com,04/05/2023
CUST100153,Ella,Torres,F,Quezon City,Davao Region,customer152@example.com,13/01/2022
CUST100154,Carlo,Navarro,M,Panabo,Western Visayas,customer153@example.com,24/10/2023
CUST100155,Sofia,Aquino,F,General Santos,Metro Manila,customer154@example.com,09/12/2021
CUST100156,Daniel,Flores,M,Iloilo,SOCCSKSARGEN,customer155@example.com,27/01/2022
CUST100157,Ana,Navarro,M,Digos,Metro Manila,customer156@example.com,09/04/2020
CUST100158,Kevin,Gonzales,F,Tagum,Northern Mindanao,customer157@example.com,15/04/2021
CUST100159,Liza,Mendoza,male,Panabo,Western Visayas,customer158@example.com,22/08/2023
CUST100160, James ,Flores,M,Iloilo,SOCCSKSARGEN,customer159@example.com,05/06/2020
CUST100161,Marco,Navarro,M,Manila,Davao Region,customer160@example.com,07/02/2021
CUST100162,Daniel,Flores,female,Quezon City,Davao Region,customer161@example.com,29/10/2023
CUST100163,Sofia,Rivera,female,Panabo,Metro Manila,customer162@example.com,20/04/2024
CUST100164,Sofia,Rivera,Male,Quezon City,Metro Manila,customer163@example.com,17/01/2022
CUST100165,Sofia,Navarro,M,Digos,Metro Manila,customer164@example.com,02/01/2022
CUST100166,Patricia,Flores,F,Manila,Davao Region,customer165@example.com,05/07/2022
CUST100167,Angela,Ramos,M,Quezon City,Metro Manila,customer166@example.com,18/10/2023
CUST100168,Mark,Cruz,M,Panabo,Metro Manila,customer167@example.com,24/04/2022
CUST100169,Angela,Torres,F,Iloilo,SOCCSKSARGEN,customer168@example.com,08/11/2020
CUST100170,Juan,Garcia,F,Cebu City,Central Visayas,customer169@example.com,15/02/2022
CUST100171,Ana,Cruz,F,Manila,Central Visayas,customer170@example.com,03/04/2021
CUST100172,Maria,Reyes,Male,Manila,Davao Region,customer171@example.com,16/05/2023
CUST100173,James,Ramos,M,Tagum,Metro Manila,customer172@example.com,13/09/2020
CUST100174,Grace,Santos,F,Manila,Metro Manila,customer173@example.com,31/12/2022
CUST100175,Daniel,Aquino,Female,Panabo,Northern Mindanao,customer174@example.com,21/08/2020
CUST100176,Miguel,Torres,male,Panabo,Western Visayas,customer175@example.com,15/10/2024
CUST100177,Grace,Mendoza,F,Tagum,SOCCSKSARGEN,customer176@example.com,26/02/2023
CUST100178,Mark,Bautista,F,Tagum,Northern Mindanao,customer177@example.com,07/09/2020
CUST100179, Ella ,Navarro,M,Iloilo,Metro Manila,,22/09/2024
CUST100180,Liza,Castillo,M,Digos,Western Visayas,customer179@example.com,29/10/2022
CUST100181, Ella ,Castillo,Female,Digos,Davao Region,customer180@example.com,27/12/2022
CUST100182,Mark,Santos,M,General Santos,Northern Mindanao,customer181@example.com,23/04/2020
CUST100183,Miguel,Garcia,F,Manila,Central Visayas,customer182@example.com,03/12/2020
CUST100184,Daniel,Ramos,F,Cagayan de Oro,Davao Region,customer183@example.com,25/12/2023
CUST100185,Miguel,Rivera,M,Cagayan de Oro,Central Visayas,customer184@example.com,21/04/2022
CUST100186,Sofia,Cruz,M,Quezon City,Davao Region,customer185@example.com,14/01/2023
CUST100187,Mark,Reyes,F,General Santos,SOCCSKSARGEN,customer186@example.com,11/11/2024
CUST100188,Paolo,Rivera,female,Manila,Metro Manila,customer187@example.com,10/02/2022
CUST100189,John,Rivera,Male,Iloilo,Northern Mindanao,customer188@example.com,16/11/2021
CUST100190,Angela,Cruz,F,Cebu City,Western Visayas,customer189@example.com,15/12/2023
CUST100191,Daniel,Torres,M,Davao City,Davao Region,,28/04/2020
CUST100192,Nicole,Aquino,Male,Panabo,Metro Manila,customer191@example.com,30/03/2022
CUST100193,Nicole,Garcia,M,Cebu City,Western Visayas,customer192@example.com,18/03/2024
CUST100194,Paolo,Mendoza,F,General Santos,Western Visayas,customer193@example.com,14/02/2021
CUST100195,Marco,Torres,Female,Panabo,Northern Mindanao,customer194@example.com,01/07/2021
CUST100196,Maria,Aquino,F,Digos,Metro Manila,customer195@example.com,30/04/2022
CUST100197,Angela,Dela Cruz,M,Davao City,Western Visayas,customer196@example.com,13/05/2020
CUST100198,Ana,Torres,M,Panabo,Western Visayas,customer197@example.com,07/05/2020
CUST100199,Angela,Dela Cruz,M,Manila,Northern Mindanao,customer198@example.com,28/03/2021
CUST100200,Marco,Bautista,F,Davao City,SOCCSKSARGEN,customer199@example.com,04/06/2024
CUST100201,Paolo,Cruz,female,Quezon City,Northern Mindanao,customer200@example.com,03/02/2021
CUST100202,Ella,Garcia,M,Digos,Central Visayas,customer201@example.com,08/08/2023
CUST100203,Miguel,Garcia,F,Quezon City,Northern Mindanao,customer202@example.com,05/02/2022
CUST100204,Daniel,Gonzales,Male,Panabo,Davao Region,customer203@example.com,30/09/2023
CUST100205,Miguel,Rivera,M,Quezon City,Northern Mindanao,customer204@example.com,17/08/2021
CUST100206,Carlo,Navarro,M,Cagayan de Oro,Davao Region,customer205@example.com,23/04/2024
CUST100207,James,Cruz,F,Quezon City,Western Visayas,customer206@example.com,29/10/2021
CUST100208,Marco,Bautista,Male,Davao City,Metro Manila,customer207@example.com,25/11/2023
CUST100209,Carlo,Flores,F,Manila,Central Visayas,customer208@example.com,05/02/2024
CUST100210,James,Villanueva,Female,Panabo,Metro Manila,customer209@example.com,16/02/2022
CUST100211,Carlo,Mendoza,male,Digos,Metro Manila,customer210@example.com,15/04/2023
CUST100212,Grace,Rivera,Female,Davao City,Northern Mindanao,customer211@example.com,01/08/2020
CUST100213,James,Bautista,,Iloilo,Northern Mindanao,customer212@example.com,12/06/2022
CUST100214,Sofia,Garcia,Female,Cebu City,SOCCSKSARGEN,customer213@example.com,03/11/2021
CUST100215,Grace,Castillo,male,Iloilo,Davao Region,,13/09/2024
CUST100216,Carlo,Dela Cruz,male,Cagayan de Oro,SOCCSKSARGEN,customer215@example.com,08/08/2024
CUST100217,Maria,Mendoza,Female,Tagum,SOCCSKSARGEN,customer216@example.com,11/11/2023
CUST100218,Maria,Dela Cruz,male,Digos,Northern Mindanao,customer217@example.com,04/09/2024
CUST100219,Sofia,Aquino,female,General Santos,Northern Mindanao,customer218@example.com,22/10/2024
CUST100220,Ella,Dela Cruz,F,Tagum,Northern Mindanao,customer219@example.com,14/10/2023
CUST100221,Ana,Aquino,Male,Iloilo,Metro Manila,customer220@example.com,04/12/2022
CUST100222,Miguel,Ramos,F,Iloilo,Northern Mindanao,customer221@example.com,02/01/2021
CUST100223,Grace,Bautista,male,Cagayan de Oro,Western Visayas,customer222@example.com,07/01/2024
CUST100224,John,Rivera,F,Cagayan de Oro,Central Visayas,customer223@example.com,16/12/2020
CUST100225,Grace,Santos,male,Manila,SOCCSKSARGEN,customer224@example.com,29/11/2020
CUST100226,Angela,Rivera,Female,Cebu City,SOCCSKSARGEN,customer225@example.com,02/05/2024
CUST100227,Patricia,Reyes,,Davao City,Central Visayas,customer226@example.com,24/07/2020
CUST100228,Kevin,Navarro,M,Cagayan de Oro,Metro Manila,customer227@example.com,12/09/2020
CUST100229,Liza,Mendoza,Female,Manila,Davao Region,customer228@example.com,08/07/2022
CUST100230,Mark,Aquino,Female,Quezon City,Davao Region,customer229@example.com,17/11/2022
CUST100231,Miguel,Castillo,female,Cagayan de Oro,Metro Manila,customer230@example.com,23/03/2020
CUST100232,Luis,Villanueva,female,Quezon City,Central Visayas,customer231@example.com,11/11/2021
CUST100233,Juan,Torres,F,Cagayan de Oro,Central Visayas,customer232@example.com,09/02/2021
CUST100234,James,Gonzales,F,Digos,Davao Region,customer233@example.com,27/06/2021
CUST100235,Miguel,Mendoza,M,General Santos,SOCCSKSARGEN,customer234@example.com,21/11/2020
CUST100236,Grace,Garcia,,Cebu City,Central Visayas,customer235@example.com,04/05/2023
CUST100237,Daniel,Torres,M,Quezon City,Central Visayas,customer236@example.com,01/05/2022
CUST100238,Sofia,Navarro,Female,Panabo,Central Visayas,customer237@example.com,23/09/2024
CUST100239,Angela,Aquino,Female,Panabo,Central Visayas,customer238@example.com,15/01/2020
CUST100240,Nicole,Villanueva,F,Cebu City,Metro Manila,customer239@example.com,31/10/2023
CUST100241,Ana,Garcia,M,Manila,Western Visayas,customer240@example.com,25/06/2024
CUST100242,Kevin,Dela Cruz,M,Digos,Metro Manila,customer241@example.com,25/05/2022
CUST100243,Maria,Rivera,male,Cebu City,Davao Region,customer242@example.com,12/06/2023
CUST100244,Nicole,Flores,F,Davao City,SOCCSKSARGEN,customer243@example.com,04/03/2022
CUST100245,Nicole,Garcia,M,Panabo,Northern Mindanao,customer244@example.com,07/12/2022
CUST100246,Maria,Rivera,Female,Iloilo,Davao Region,customer245@example.com,21/06/2024
CUST100247,James,Flores,M,Cagayan de Oro,Davao Region,customer246@example.com,12/08/2022
CUST100248,Sofia,Rivera,male,Quezon City,Western Visayas,customer247@example.com,06/11/2022
CUST100249,James,Gonzales,F,Panabo,Central Visayas,customer248@example.com,11/11/2024
CUST100250,Juan,Gonzales,M,Panabo,Davao Region,customer249@example.com,12/06/2022
CUST100251,Mark,Ramos,M,Iloilo,Western Visayas,customer250@example.com,07/11/2020
CUST100252,Miguel,Bautista,F,Iloilo,Northern Mindanao,customer251@example.com,14/05/2023
CUST100253,Mark,Rivera,F,Quezon City,SOCCSKSARGEN,customer252@example.com,01/06/2023
CUST100254,Angela,Dela Cruz,Female,Digos,SOCCSKSARGEN,customer253@example.com,02/03/2021
CUST100255,Daniel,Santos,F,Quezon City,Davao Region,customer254@example.com,04/08/2023
CUST100256,Ana,Mendoza,F,General Santos,Western Visayas,customer255@example.com,24/04/2020
CUST100257,Daniel,Aquino,M,Quezon City,Metro Manila,customer256@example.com,30/07/2021
CUST100258,Ana,Navarro,M,Quezon City,Northern Mindanao,customer257@example.com,19/03/2024
CUST100259,Mark,Reyes,female,General Santos,Central Visayas,customer258@example.com,16/01/2023
CUST100260,Kevin,Navarro,M,Digos,Central Visayas,customer259@example.com,29/12/2022
CUST100261,James,Cruz,,Iloilo,Davao Region,customer260@example.com,22/01/2023
CUST100262,Mark,Navarro,F,General Santos,Western Visayas,customer261@example.com,23/10/2020
CUST100263,Carlo,Ramos,M,General Santos,Northern Mindanao,customer262@example.com,26/09/2024
CUST100264,Ella,Aquino,M,Cebu City,SOCCSKSARGEN,customer263@example.com,20/06/2021
CUST100265,Marco,Torres,M,Iloilo,Western Visayas,customer264@example.com,16/11/2023
CUST100266,Kevin,Torres,Female,Tagum,Metro Manila,customer265@example.com,16/11/2024
CUST100267,Sofia,Aquino,F,Iloilo,Davao Region,customer266@example.com,09/03/2021
CUST100268,Angela,Castillo,F,General Santos,Davao Region,customer267@example.com,15/02/2023
CUST100269,Nicole,Bautista,Male,Davao City,Davao Region,,17/03/2020
CUST100270,Kevin,Mendoza,Male,Digos,Central Visayas,customer269@example.com,19/02/2023
CUST100271,Carlo,Torres,female,General Santos,Western Visayas,customer270@example.com,04/03/2022
CUST100272,Juan,Mendoza,,Cebu City,Davao Region,customer271@example.com,09/05/2020
CUST100273,Mark,Navarro,Male,Cagayan de Oro,Western Visayas,customer272@example.com,24/04/2023
CUST100274,Marco,Cruz,male,Tagum,Davao Region,customer273@example.com,10/10/2024
CUST100275,Sofia,Torres,Female,General Santos,Northern Mindanao,customer274@example.com,29/05/2020
CUST100276,Miguel,Garcia,F,Panabo,Metro Manila,customer275@example.com,26/05/2024
CUST100277,Miguel,Navarro,Female,Panabo,Western Visayas,customer276@example.com,27/02/2024
CUST100278,James,Villanueva,M,Manila,Western Visayas,customer277@example.com,13/09/2022
CUST100279,Maria,Rivera,Female,Quezon City,Metro Manila,customer278@example.com,10/06/2024
CUST100280,Maria,Flores,,Tagum,Davao Region,customer279@example.com,10/07/2021
CUST100281,Carlo,Santos,M,Cebu City,Northern Mindanao,customer280@example.com,20/07/2023
CUST100282,Miguel,Garcia,male,General Santos,Western Visayas,customer281@example.com,10/06/2023
CUST100283,Daniel,Reyes,female,Digos,Davao Region,customer282@example.com,10/11/2022
CUST100284,Miguel,Bautista,M,Manila,Western Visayas,customer283@example.com,09/02/2024
CUST100285,Sofia,Rivera,F,Panabo,Western Visayas,customer284@example.com,26/04/2024
CUST100286,Ella,Navarro,female,Manila,Western Visayas,customer285@example.com,16/11/2023
CUST100287,Mark,Cruz,,General Santos,Northern Mindanao,customer286@example.com,25/11/2022
CUST100288,Kevin,Santos,M,Davao City,Northern Mindanao,customer287@example.com,24/10/2024
CUST100289,Liza,Rivera,F,Manila,Northern Mindanao,customer288@example.com,27/09/2022
CUST100290,Miguel,Mendoza,Male,Quezon City,Central Visayas,customer289@example.com,20/02/2023
CUST100291, Patricia ,Reyes,M,Cagayan de Oro,Metro Manila,customer290@example.com,05/12/2020
CUST100292,Carlo,Cruz,F,Manila,Davao Region,customer291@example.com,01/08/2021
CUST100293,Marco,Dela Cruz,M,Tagum,Metro Manila,customer292@example.com,16/06/2024
CUST100294,Angela,Aquino,M,Digos,Northern Mindanao,customer293@example.com,15/06/2022
CUST100295,Liza,Gonzales,F,Digos,Metro Manila,customer294@example.com,09/07/2022
CUST100296,Liza,Dela Cruz,Male,Manila,Northern Mindanao,customer295@example.com,09/01/2024
CUST100297,Patricia,Aquino,Male,Digos,SOCCSKSARGEN,customer296@example.com,09/08/2021
CUST100298,Sofia,Reyes,Female,Manila,Northern Mindanao,customer297@example.com,22/04/2021
CUST100299,Carlo,Santos,F,Digos,SOCCSKSARGEN,customer298@example.com,16/01/2020
CUST100300,Juan,Santos,M,Cebu City,Northern Mindanao,customer299@example.com,20/02/2021
CUST100301,Paolo,Gonzales,M,Panabo,Davao Region,customer300@example.com,10/07/2022
CUST100302,Patricia,Ramos,M,Cagayan de Oro,Northern Mindanao,customer301@example.com,28/07/2023
